NombreCaso,Algoritmo,NumPistas,DetallesParametros,CostoBaseSolucion,CostoPenalizadoSolucion,EsEstrictamenteFactible,ViolacionesLk,ViolacionesSep,ViolacionesNoProg,TiempoComputacional_seg,OrdenAterrizajeIDs,AvionesNoProgramados
case4.txt,GD_HC,2,IterHC:20,617.14,617.14,True,0,0,0,1.2532,0-1-5-9-2-7-3-6-8-4-11-12-10-13-15-16-17-14-19-18-23-21-22-20-24-26-29-30-28-25-33-27-32-34-31-35-36-39-37-40-38-43-46-41-44-45-42-49-50-47-48-51-53-52-54-58-56-57-55-59-60-61-62-63-66-65-67-64-68-69-71-70-72-73-74-76-75-78-77-84-79-80-81-83-82-87-85-86-89-88-90-91-92-94-93-97-95-98-96-99,
case4.txt,GE,2,Semilla:0;K_RCL:3,42376.06,42376.06,True,0,0,0,0.0024,0-1-2-7-9-3-6-4-5-11-8-12-10-16-17-14-15-13-19-21-22-23-20-24-26-29-30-25-27-33-28-32-31-34-18-35-39-40-38-43-37-46-36-45-44-49-42-41-48-50-47-51-53-52-54-56-58-59-60-61-57-62-63-55-64-66-67-65-68-69-71-72-70-73-74-75-76-79-80-77-83-84-78-81-85-86-87-82-89-90-91-92-94-88-93-95-97-98-96-99,
case4.txt,GE,2,Semilla:1;K_RCL:3,43552.32,43552.32,True,0,0,0,0.0021,0-5-9-2-7-6-3-1-8-11-4-10-13-15-14-12-16-17-18-19-22-23-20-24-29-30-21-28-25-27-26-32-33-35-34-31-36-37-38-39-41-43-44-42-46-45-47-48-50-40-51-52-53-56-49-57-58-54-59-60-61-62-55-65-66-64-63-68-69-70-71-72-67-73-76-74-75-78-77-81-84-83-82-79-85-86-87-89-88-90-91-80-92-94-97-98-96-93-99-95,
case4.txt,GE,2,Semilla:2;K_RCL:3,48409.71,285409.71,False,1,0,0,0.0029,0-1-2-3-5-9-8-7-11-4-12-13-10-16-17-15-6-14-19-21-22-23-20-26-18-29-30-24-28-25-27-33-32-35-36-31-39-37-38-40-41-34-43-45-46-49-42-50-47-48-52-53-51-54-56-55-44-58-59-60-61-62-63-65-66-64-67-68-57-69-70-71-73-74-76-77-78-72-75-79-80-83-84-81-85-86-87-82-88-89-90-91-92-93-94-96-97-98-95-99,
case4.txt,GE,2,Semilla:3;K_RCL:3,45364.25,285364.25,False,1,0,0,0.0020,0-2-5-7-1-6-9-8-4-3-12-13-10-15-14-11-16-17-21-18-23-20-19-22-26-29-30-24-25-33-32-34-27-35-31-28-36-37-39-40-38-44-41-46-45-49-42-47-50-51-48-53-52-54-56-55-57-59-60-58-43-61-62-63-66-67-65-64-68-70-69-71-72-74-75-73-77-78-76-81-84-83-80-79-86-87-85-82-88-90-91-92-93-94-95-96-98-97-99-89,
case4.txt,GE,2,Semilla:4;K_RCL:3,40649.79,40649.79,True,0,0,0,0.0032,0-1-5-9-2-7-6-4-8-3-11-10-13-12-15-16-14-17-18-19-20-21-23-24-29-30-26-25-22-28-33-32-34-27-31-36-39-37-40-38-43-41-46-35-44-42-49-50-45-47-51-52-48-54-57-58-53-56-59-60-55-61-63-65-66-67-62-64-69-68-71-72-73-70-74-76-77-78-75-79-80-81-84-85-86-87-83-88-89-90-91-92-93-94-82-95-96-97-98-99,
case4.txt,GE,2,Semilla:5;K_RCL:3,41048.71,41048.71,True,0,0,0,0.0023,5-1-9-7-3-6-8-0-4-10-2-11-12-13-15-14-16-17-18-22-23-19-20-24-21-26-29-30-28-25-33-27-32-34-35-31-36-37-39-40-38-41-43-44-42-46-45-48-50-51-49-53-52-54-57-58-56-47-59-55-61-60-62-65-66-64-67-68-69-63-70-71-72-73-74-75-77-78-76-81-84-83-80-82-79-85-86-87-88-90-91-92-93-94-89-96-97-98-95-99,
case4.txt,GE,2,Semilla:6;K_RCL:3,41654.42,41654.42,True,0,0,0,0.0026,1-5-0-9-7-2-8-4-6-11-3-12-13-15-14-17-10-19-21-22-23-20-16-24-26-29-30-28-25-27-18-33-35-31-34-32-36-37-39-40-41-43-38-46-42-45-49-44-50-47-51-52-53-54-56-48-57-58-55-59-60-61-62-65-66-67-64-68-63-69-71-70-72-73-74-75-76-77-79-78-83-84-81-82-80-85-87-88-89-86-90-91-93-94-92-95-96-97-98-99,
case4.txt,GE,2,Semilla:7;K_RCL:3,41778.18,41778.18,True,0,0,0,0.0024,0-1-5-7-9-3-8-2-11-6-4-12-13-10-14-15-16-17-18-21-22-20-23-19-24-26-29-30-27-33-25-34-31-28-32-36-35-38-39-41-37-43-44-42-46-49-45-48-50-47-40-51-52-53-55-56-57-58-54-60-59-62-63-61-64-66-65-68-67-69-70-71-72-73-76-74-78-79-80-81-84-77-83-85-82-87-75-86-89-90-91-88-92-94-95-93-97-98-96-99,
case4.txt,GE,2,Semilla:8;K_RCL:3,43990.78,43990.78,True,0,0,0,0.0021,0-1-5-7-9-3-2-11-6-8-10-12-13-15-16-17-4-14-19-21-22-23-20-24-29-30-26-18-28-33-32-27-25-35-34-36-37-31-40-41-39-43-44-42-46-38-45-47-50-48-51-52-53-49-54-55-57-59-60-61-62-56-58-63-64-65-67-66-68-69-71-72-73-70-74-75-76-77-78-81-84-79-80-83-82-86-87-89-85-90-88-91-92-94-93-95-97-98-96-99,
case4.txt,GE,2,Semilla:9;K_RCL:3,42411.58,42411.58,True,0,0,0,0.0022,1-0-5-7-9-3-8-6-11-2-12-13-10-4-14-16-17-15-18-19-20-23-24-26-29-21-30-22-33-27-25-28-34-32-35-31-36-38-37-39-40-43-45-46-41-49-44-42-48-50-47-51-52-53-55-56-54-57-58-59-60-61-62-63-65-67-68-66-69-70-64-71-74-75-76-73-72-78-79-80-77-82-84-83-86-87-85-81-88-89-90-92-93-94-91-95-96-97-98-99,
case4.txt,GRASP_HC_Estoc,2,IterGRASP:10;SemIni:0;K_RCL:3;IterHC:20,1384.25,1384.25,True,0,0,0,76.8662,0-1-9-5-2-7-3-6-8-4-12-11-10-13-15-16-17-14-19-18-23-21-22-20-24-26-29-25-30-28-33-32-27-34-31-35-36-39-37-40-38-43-46-41-44-45-42-49-50-47-48-51-53-52-54-58-56-57-55-59-60-61-62-63-66-65-64-67-68-69-71-70-72-73-74-76-75-78-77-84-79-80-81-83-82-87-85-86-89-88-90-91-92-94-93-97-95-98-96-99,
case4.txt,GRASP_HC_Estoc,2,IterGRASP:25;SemIni:0;K_RCL:3;IterHC:20,1042.46,1042.46,True,0,0,0,194.5543,0-1-5-9-2-7-3-6-8-4-11-12-10-13-15-16-17-14-19-18-23-22-21-20-24-26-29-30-28-25-27-32-34-33-31-35-36-39-37-40-38-43-46-41-44-45-42-49-50-47-48-51-53-52-54-58-56-57-55-59-60-61-62-63-66-65-67-64-68-69-71-70-72-73-74-76-75-78-77-84-79-80-81-83-82-87-85-86-88-89-90-91-92-94-93-97-95-98-96-99,
case4.txt,GRASP_HC_Estoc,2,IterGRASP:50;SemIni:0;K_RCL:3;IterHC:20,1042.46,1042.46,True,0,0,0,386.0850,0-1-5-9-2-7-3-6-8-4-11-12-10-13-15-16-17-14-19-18-23-22-21-20-24-26-29-30-28-25-27-32-34-33-31-35-36-39-37-40-38-43-46-41-44-45-42-49-50-47-48-51-53-52-54-58-56-57-55-59-60-61-62-63-66-65-67-64-68-69-71-70-72-73-74-76-75-78-77-84-79-80-81-83-82-87-85-86-88-89-90-91-92-94-93-97-95-98-96-99,
